"","Date received","Product","Sub-product","Issue","Sub-issue","Consumer complaint narrative","Company public response","Company","State","ZIP code","Tags","Consumer consent provided?","Submitted via","Date sent to company","Company response to consumer","Timely response?","Consumer disputed?","Complaint ID"
"3521",2013-09-19,"Credit reporting","Other","Unable to get credit report/credit score","Problem getting my free annual report","Other","Other","Equifax","VA","20176","Other","Other","Referral",2013-10-07,"Closed with non-monetary relief","Yes","Yes",534407
"3522",2013-09-03,"Mortgage","Conventional adjustable mortgage (ARM)","Loan servicing, payments, escrow account","Other","Other","Other","SunTrust Banks, Inc.","CO","81632","Other","Other","Web",2013-09-03,"Closed with monetary relief","Yes","No",512650
"3523",2013-09-09,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","CA","95757","Other","Other","Referral",2013-09-10,"Closed with explanation","Yes","Yes",519426
"3524",2013-09-03,"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","PHH Mortgage","MI","49445","Servicemember","Other","Web",2013-09-03,"Closed with explanation","Yes","No",511821
"3525",2013-09-03,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","CA","92626","Other","Other","Web",2013-09-03,"Closed with non-monetary relief","Yes","No",511879
"3526",2013-09-19,"Credit reporting","Other","Incorrect information on credit report","Information is not mine","Other","Other","Experian","IN","46750","Other","Other","Referral",2013-09-30,"Closed with non-monetary relief","Yes","No",534379
"3527",2013-09-03,"Credit reporting","Other","Incorrect information on credit report","Information is not mine","Other","Other","Experian","CA","95422","Other","Other","Web",2013-09-02,"Closed with explanation","Yes","Yes",512663
"3528",2013-09-03,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","CA","92128","Other","Other","Web",2013-09-03,"Closed with explanation","Yes","No",512668
"3529",2013-09-03,"Mortgage","Conventional fixed mortgage","Credit decision / Underwriting","Other","Other","Other","BMO Harris","IL","60521","Other","Other","Web",2013-09-03,"Closed with explanation","Yes","No",512669
"3530",2013-09-19,"Credit card","Other","Other","Other","Other","Other","JPMorgan Chase & Co.","VA","20152","Other","Other","Web",2013-09-19,"Closed with explanation","Yes","Yes",535240
"3531",2013-09-19,"Credit reporting","Other","Incorrect information on credit report","Information is not mine","Other","Other","Experian","FL","34950","Other","Other","Referral",2013-10-15,"Closed with non-monetary relief","Yes","No",534397
"3532",2013-09-03,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bayview Loan Servicing, LLC","CA","93727","Other","Other","Referral",2013-09-05,"Closed with explanation","Yes","Yes",512524
"3533",2013-09-03,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","AZ","85306","Other","Other","Referral",2013-09-05,"Closed with explanation","Yes","Yes",512709
"3534",2013-08-20,"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","MN","55119","Other","Other","Web",2013-08-21,"Closed with explanation","Yes","No",497302
"3535",2013-08-20,"Bank account or service","Other bank product/service","Account opening, closing, or management","Other","Other","Other","Comerica","NY","11378","Other","Other","Referral",2013-08-22,"Closed with explanation","Yes","No",498103
"3536",2013-09-19,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Nationstar Mortgage","CA","91791","Other","Other","Web",2013-09-20,"Closed with explanation","Yes","Yes",534409
"3537",2013-09-03,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","HSBC North America Holdings Inc.","CA","91977","Other","Other","Referral",2013-09-04,"Closed with explanation","Yes","Yes",512694
