"","coupon_id","title","Description","Discount","MinimumSpendAmount","OfferApplicableOn","BrandsUnderOffer","Validfor","PaymentModeOffer","TermsAndConditions"
"2383","9-4-161092","Minimum 50% Off Over 80,000 Styles","Shop for all the lifestyle products from the categories like Clothing, Footwear and Accessories for both Men & Women here at jabong and avail minimum 50% off on the landing page products, No coupon code required, Click to get the offer page.","get the offer page.","","the landing page products"," Clothing Footwear and Accessories for both Men & Women here at jabong and avail minimum 50% off on the landing page products","all the lifestyle products","",""
"2384","9-4-161286","Flat 50% Off On Sports Wear","Clean Bowled : Shop from the various categories like Footwear, Accessories, Clothing, bags and many more for Men & Women, No coupon code required, Click to get the offer page.","get the offer page.","","get the offer page."," Footwear Accessories Clothing bags and many more for Men & Women","","",""
"2385","9-4-162633","Flat 50% Off On Your Favorite Styles","Shop from the various categories like Men s  and Women s clothing like Tees and Tops, No coupon code required, Click to get the offer page.","coupon code required Click","","get the offer page."," Men s  and Women s clothing","","",""
"2386","9-4-162771","Big Day : Flat 30% Off or More","Big Day : On all the landing page products from the top brands like Miss Selfridge, The Vance and Imara, Shop from the various categories like Clothing, Footwear and Bags for both Men & Women, No Coupon code required, Click to get the offer page.","brands like Miss Selfridge","","get the offer page."," Miss Selfridge The Vance and Imara","","",""
"2387","9-4-163107","Accessories Carnival : Flat 50% Off On Accessories","Accessories Carnival : Accessories like Sunglasses, Watches and Travel Bags at jabong, This offer is valid for only limited period, Hurry Up !, No coupon code required to avail this offer, Click to get the offer page.","Up !","","get the offer page."," Sunglasses Watches and Travel Bags at jabong","valid for only limited period Hurry","",""
"2388","9-4-164320","Brand Day : Flat 50% Off On Selected Brands","Top brands like Jack & Jones, Mufti, Incult and Burten Men s Wear, Shop from the various categories like Jeans, Tees, Shirts, Footwear and many more, No coupon code required, Click to get the offer page.","coupon code required Click","","get the offer page."," Jack & Jones Mufti Incult and Burten Men s Wear","","",""
"2389","9-4-164445","Minimum 40% &#8211; 70% Off Over 1,00,000 Styles","Shop from the various categories like clothing, Footwear, Accessories and many more, Shop from over 110402 styles and enjoy your shopping, No coupon code required, Click to get the offer page.","get the offer page.","","get the offer page."," clothing Footwear Accessories and many more","","",""
"2390","9-4-165384","Buy From Over 999 Styles For Just Rs.999","The Stylish Edition : Shop from over 999 styles all under Rs.999, Shop from the various categories like Men s Clothing, Women s Clothing, Footwear, Accessories and lot more, No coupon code required, Just click below and start shopping.","","Rs. 999",""," Men s Clothing Women s Clothing Footwear Accessories and lot more","","",""
"2391","9-4-165788","Ethnic Fest : Minimum 40% Off On Men&#8217;s Ethnic Wear","Men s Ethnic Fest at Jabong, Shop from the various wide range of collections that suits every occasion, No coupon code required, Click to get the offer page.","get the offer page.","","get the offer page.","get the offer page.","","",""
"2392","9-4-165810","Modish Casuals All Under Rs.1299","Are you looking for stunning casuals , Then here we are with a wide range of casual collections at Jabong, Shop from the various categories like Tees, Jeans, Shorts and many more, No coupon code required, Click to get the offer page.","get the offer page.","","get the offer page."," Tees Jeans Shorts and many more","","",""
"2393","9-4-166425","Home Mega Sale : Upto 80% Off On Furnishing","Home Furnishing online sale : Shop for the furnishings that Attractive in design, these bed sheets are a perfect pick for your contemporary bedroom setting, No coupon code required, Click to get the offer page.","get the offer page.","","get the offer page.","get the offer page.","","",""
"2394","9-4-166460","Shoe Fest : Minimum 40% Off On Shoes","Choose from various categories like  Casual Shoes, Formal Shoes,  Sports Shoes,  Sneakers,  Boots,  Sandals & Slippers,  Flip Flops, Floaters  and more, Click the click the link to get landing page.","get landing page.","","get landing page.","  Casual Shoes Formal Shoes  Sports Shoes  Sneakers  Boots  Sandals & Slippers  Flip Flops Floaters  and more","","",""
"2395","9-4-166942","Flat Out 50 : Flat 50% Off On listing page Products","Flat out 50 : Grab the seasons hottest styles today at Jabong, Shop from the various categories like Clothing and Footwear for both Men and Women, No coupon code required, Click to get the offer page.","Flat out 50 : Grab the","","get the offer page."," Clothing and Footwear for both Men and Women","","",""
"2396","9-4-167370","Minimum 30% &#8211; 70% Off On Sports Wear","Its time to Shop your Sports Wear and Accessories with all new offers, Shop from the various categories like Shoes, T-Shirts, Shorts, Backpacks, Flip flops and many more, No coupon code required, Click to get the offer page.","Shop your Sports Wear","","get the offer page."," Shoes T-Shirts Shorts Backpacks Flip flops and many more","","",""
"2397","9-4-168542","T-shirt Club : Get Tees Under Rs.499","Shop for the Fab N Trendy T- Shirts for both Men & Women at Jabong at best prices, Shop for the tees all below Rs.499, No coupon code required to avail this offer, Click to get the offer page.","avail this offer","Rs. 499","get the offer page.","avail this offer","","",""
"2398","9-4-168972","Upto 78% Off on All Lifestyle Products","Shop from over 70,000 Life Style products. Shop from the various categories like Clothing, Footwear, Accessories and many more for both Men and Women at Jabong. Hurry up before the sale gets closed !, Happy shopping!!","","","get closed !"," Clothing Footwear Accessories and many more for both Men and Women at Jabong. Hurry up before the sale gets closed !","","",""
"2399","9-4-170380","Sale : Minimum 30% to Upto 80% Off  at  Jabong","End of the Season Sale : Its the  perfect time to shop from the wide varieties this end of season, Shop from the various categories like Clothing, Accessories, Footwear and many more, No coupon code required, Click to get the offer page.","shop from the wide","","get the offer page."," Clothing Accessories Footwear and many more","","",""
"2400","9-4-173206","It&#8217;s Raining Brands : Flat 50% Off On Lifestyle Products","Raining season discount on branded products like Tom Tailor and Puma Brands, products men and women clothing, footwear are available, no coupon code required to activate this offer, click here to get this offer page.","on branded products like","","discount"," Tom Tailor and Puma Brands products men and women clothing footwear are available no coupon code required to activate this offer click here to get this offer page.","","",""
"2401","9-4-173852","Upto 50% Off On W Brand Women Clothing","This is an exclusive offer for Jabong Women customers, On Kurtas, Blouses, Shirts, Bottom wear and etc, no coupon code required to activate this offer, click here to get this offer page.","","","get this offer page.","","","",""
"2402","9-4-174372","Flat 50% Off On Casual Wear","Shop and get flat 50% off on  casual wear for both Men and Women, Shop from the various categories like clothing, Footwear and Accessories, This is for limited period offer, So Hurry Up !, Click to get the offer page.","Up !",""," casual wear for both Men and Women"," clothing Footwear and Accessories","","",""
"2403","9-4-174384","Upto 86% Off On All Accessories","Shop from the various accessories like Sunglasses, Shoes, Bags, Watches etc & get upto 86% off only @ Jabong, This offer is only for limited period, So Hurry Up !, No coupon code required, Click to get the offer page.","Up offer is only for limited","","get upto 86% off only @"," Sunglasses Shoes Bags Watches etc & get upto 86% off only @ Jabong","","",""
"2404","9-4-175712","Flat 40% Off On Over 1,40,000 Styles","Shop now from over 1,40,000 + styles here at jabong and get flat 40% off on the landing page products, Shop from the various categories like Clothing, Accessories, Bags, Shoes, Beauty, Home & Furniture and many more, No coupon code required, Click to get the offer page.","now from over 140000 + styles","","the landing page products"," Clothing Accessories Bags Shoes Beauty Home & Furniture and many more","","",""
"2405","9-4-176298","Minimum 50% Off On Jabong Exclusives","Jabong Exclusives : Shop now for the jabong exclusives and get minimum 50% off on the landing page products, Shop from the various categories like Clothing, Accessories, Bags, Shoes, Beauty, Home & Furniture and many more, No coupon code required, Click to get the offer page.","now for the jabong exclusives and get","","the landing page products"," Clothing Accessories Bags Shoes Beauty Home & Furniture and many more","","",""
"2406","9-4-176325","Upto 70% Off On Men&#8217;s Footwear","Shop for the footwear from the various categories like Sports wear, Formal wear, Casual and many more, Shop from the various top brands like Incult, Andrew Hill and many more, No coupon code required, Click to get the offer page.","brands like Incult Andrew","","get the offer page."," Sports wear Formal wear Casual and many more","","",""
"2407","9-4-177120","Big Day : Get 50-60% Off On Vero Moda","Its Big Day here at Jabong !, Shop for the Men and Women Clothing from the house of Vero Moda and get 50%-60% off , This offer is valid only on the brand of  Vero Moda, No coupon code required, Click to get the offer page.","get the offer page.","","the brand of  Vero Moda","get the offer page.","valid only on the brand of","",""
"2408","9-4-177915","Upto 50% Off On Watches","Shop for the Stylish and Trendy watches for both Men and Women here at jabong and get upto 50% off on landing page products, Shop from the various top brands like Timex, Casio, Giordano, Titan and many more, No coupon code required, click to get the offer page.","50% off on landing","","landing page products"," Timex Casio Giordano Titan and many more","","",""
"2409","9-4-180937","Don&#8217;t Stop Just Buy : Minimum 30%-60% Off","Shop from the various categories like Clothing, Footwear, Accessories and many more for both men and women and get minimum 30% to 60% off on the landing page products, No coupon code required, Click to get the offer page, Don t Stop Just Shop !!","60% off on the","","the landing page products"," Clothing Footwear Accessories and many more for both men and women and get minimum 30% to 60% off on the landing page products","","",""
"2410","9-4-182039","Minimum 30% &#8211; 70% Off on Leather Products","The Big Leather Steal Offer, Get Minimum 30% to 70% Off on Leather Products like Shoes, Wallets, Belts, Bags etc for both men and women, No coupon code is required, Click to get this offer.","70% Off on Leather","","Leather Products like Shoes Wallets Belts Bags etc for both men and women"," Shoes Wallets Belts Bags etc for both men and women","","",""
"2411","9-4-182041","Upto 50% Off on Men&#8217;s Sneakers","Sneak Peek Offer, Get Upto 50% Off on Sneakers of Various Brands like Puma, Nike and Fila etc, No coupon code is required, Click to get this offer.","Up 50% Off on Sneakers of","","Sneakers of Various Brands like Puma Nike and Fila etc"," Puma Nike and Fila etc","","",""
"2412","9-4-183319","Arrow : Upto 60% Off on Men&#8217;s Clothing","Buy men branded clothing and get up to 60% off,  Arrow brand available at here for special offer, click here to get in to this offer page.","60% off  Arrow brand","","get up to 60% off  Arrow","60% off  Arrow brand","","",""
"2413","9-4-185748","Upto 55% Off on Men&#8217;s Nike Store","It s Gym Time, Add Comfort and Efficiency to your fitness routine with our hottest collection, Get Upto 55% Off on Men s Sports Wear, No coupon code is required, Click to get this offer.","Up 55% Off on Men s","","Men s Sports Wear","your fitness routine with","","",""
"2414","9-4-187347","Kids Clothing Under Rs. 499 Store","A stylish addition to your son s and daughter s festive wardrobe, Shop under Rs.499, No coupon code required click the link to get landing page.","your son s and","Rs. 499 No coupon code required","get landing page.","your son s and","","",""
"2415","9-4-193288","Brand Day: Flat 50% Off on Women&#8217;s Clothing","Shop and get flat 50% off on women s clothing, Choose from various categories like Tops, Tees & Shirts, Dresses & Jumpsuits, Winter Wear, Trousers & Jeans,  Capris, Shorts & Skirts, Summer Jackets, Shrugs and much more.","","","women s clothing Choose from various categories like Tops Tees & Shirts Dresses & Jumpsuits Winter Wear Trousers & Jeans  Capris Shorts & Skirts Summer Jackets Shrugs and much more."," Tops Tees & Shirts Dresses & Jumpsuits Winter Wear Trousers & Jeans  Capris Shorts & Skirts Summer Jackets Shrugs and much more.","","",""
"2416","9-4-196384","Flat 50% Off On The Vanca Women Western Wear","Shop and get flat 50% Off On The Vanca Women Western Wear, Choose from your favorite products like tops, shirts, jeans, skirts, shorts and more.","shirts jeans skirts shorts","","get flat 50% Off On The"," tops shirts jeans skirts shorts and more.","","",""
"2417","9-4-197806","Great Festive Deals: LifeStyle Products Under Rs.999","Shop and get everything under Rs.999, Shop from the various categories like T-shirts, Tops, Flip-Flops, Shorts , Jewelry, Home Furnishings and many more, No coupon code required, Click to get the offer page.","coupon code required Click","Rs. 999","get everything under Rs.999"," T-shirts Tops Flip-Flops Shorts  Jewelry Home Furnishings and many more","","",""
"2418","9-4-198322","Festive Deals: Minimum 30% &#8211; 80% Off Over 1,50,000 Styles","Great Festive Deals: Minimum 30% - 80% Off over 1,50,000 Styles, Choose from various categories like Clothing, Shoes, Jewellery, Bags, Accessories, Home & Furniture, Beauty and more, No coupon code required.","","",""," Clothing Shoes Jewellery Bags Accessories Home & Furniture Beauty and more","","",""
"2419","9-4-38437","Upto 75% Off On Curtains","Of top brands like Enfin Homes, Hermoso, Siyarams etc, Curtains of different sizes like Door,  Window,  Long Door,  No need to use coupon code, Click to get the offer page.","brands like Enfin Homes","","get the offer page."," Enfin Homes Hermoso Siyarams etc","","","No need to use coupon code"
"2420","9-4-73570","Flat 50% Off On UCB Branded Products","UCB Branded Products like clothing, footwear & accessories for men & women, No need to use coupon code, Click to get the offer page.","use coupon code","","get the offer page."," clothing footwear & accessories for men & women","","","No need to use coupon code"
"2421","9-4-76774","Upto 35% Off On Philips Personal Care Products","Products  like trimmers, hair straighter, hair dryers and many more. No coupon code required, Click to get the offer page.","get the offer page.","","get the offer page."," trimmers hair straighter hair dryers and many more. No coupon code required","","",""
"2422","90-1-77288","Rs.50 off on bus ticket booking","Get Rs.50 off on bus ticket booking, Use this Code to get the offer, Coupon validity till 27-Oct-2015.","get the offer","Rs. 50 off on bus ticket","bus ticket booking","get the offer","valid till 27-Oct-2015.","Use this Code to get the",""
"2423","90-1-82415","Flat 5% off on bus tickets","Get flat 5% off on bus tickets booking, Coupon only valid on minimum purchase amount of Rs, 500, Use this Code to get the offer, Coupon validity till 27-Oct-2015.","get the offer","Rs","bus tickets booking","get the offer","valid on minimum purchase amount of","Use this Code to get the",""
"2424","90-1-88141","Flat 10% off on booking bus tickets","Get flat 10% off on booking bus tickets, Coupon only valid on minimum purchase amount of Rs, 500, Use this Code to get the offer, Coupon validity till 27-Oct-2015.","get the offer","Rs","booking bus tickets","get the offer","valid on minimum purchase amount of","Use this Code to get the",""
"2425","90-3-10082","Bus Ticket Booking: Get Zero Booking Fees","Travelyaari is offering Zero Booking Fees in Bus Ticket Booking, If you have been through bad times with bus travel and hate Horrible Bus Journeys, Unnecessary Running around, Sudden Bus or seat cancellations, then look no further for a solution to all these usual Bus Ticketing problems, It existence is in all major cities like Bangalore, Chennai, Mumbai, Hyderabad, Kolkata, Pune, Vijayawada, Vizag, Ahmedabad, etc Do not miss your travel friend discounts.Hurry up and go for it now","now","",""," Bangalore Chennai Mumbai Hyderabad Kolkata Pune Vijayawada Vizag Ahmedabad","","",""
"2426","90-3-5009","Avail 5% Discount on Bus Booking","Saving is Earning, Register today for a Free Travelyaari privilege Card and start saving money immediately, It also saves your time with hassle free process, quick booking and much more, Check more Details and instructions in the listing page, No Travelyaari Coupon Code needed, Hurry up Avail this discount now","now","this discount now","","for a Free Travelyaari","","",""
"2427","90-3-5010","Bangalore Holidays: Get Best Deals","Travelyaari is offering Great Holiday packages for Bengaluru / Bangalore users, Select Various Activities in Bangalore like Trekking, Safari, River Rafting, Water Rappelling.Etc and Get the Best Deal, Plan your weekend travels With Your family and get the best deals only at Travel yaari , Check out the listing page for complete details for terms and c onditions, This is your true travel friend.No Travelyaari Code needed, Avail this limited period offer now","now","this limited period offer","get your weekend travels With Your"," Trekking Safari River Rafting Water Rappelling.Etc and Get the Best Deal","","",""
"2428","92-1-95028","Flat Rs.250 off on minimum purchase of Rs.2000","Get flat Rs.250 off on minimum purchase of Rs.2000, Offer is valid for new users only, Offer is not valid on GNC,ON and Abbott products, Use this Code to get the offer, Coupon validity till 31-Oct-2015.","get the offer","Rs. 250 off on minimum purchase","minimum purchase of Rs.2000","get the offer","valid for new users only","Use",""
"2429","92-7-551746","Clearance Sale - Get Up To 40% Off On Sports Nutrition & More Items","Clearance Sale - Get up to 40% off on sports nutrition & many more health care products at Healthkart, Code Not Required, Offer valid on products displayed on the lading page.","40% off on sports","","sports nutriti","40% off on sports","valid on products displayed on the","",""
"2430","92-7-552291","Get 47% Off On Vitamin Shoppe Green Tea Extract (250 mg)","Get 47% off on vitamin shoppe green tea extract (250 mg) at Healthkart, Code Not Required, Offer valid on product displayed on the listing page.","Get 47% off on vitamin shoppe","","vitamin shoppe green tea extract (250 mg) at Healthkart","","valid on product displayed on the","",""
"2431","92-7-552293","Get 47% Off On Vitamin Shoppe Reduced Glutathione (250 mg)","Get 47% off on vitamin shoppe reduced glutathione (250 mg) at Healthkart, Code Not Required, Offer valid on product displayed on the listing page.","Get 47% off on vitamin shoppe","","vitamin shoppe reduced glutathione (250 mg) at Healthkart","","valid on product displayed on the","",""
"2432","92-7-552296","Get 40% Off On Vitamin Shoppe Tonalin CLA (1000 mg)","Get 40% off on vitamin shoppe tonalin CLA (1000 mg) at Healthkart, Code Not Required, Offer valid on product displayed on the listing page.","CLA (1000 mg) at","","vitamin shoppe tonalin CLA (1000 mg) at Healthkart","CLA (1000 mg) at","valid on product displayed on the","",""
"2433","92-7-552298","Get 40% Off On Vitamin Shoppe Skin-Hair-Nails","Get 40% off on vitamin shoppe skin-hair-nails at Healthkart, Code Not Required, Offer valid on product displayed on the listing page.","Get 40% off on vitamin shoppe","","vitamin shoppe skin-hair-nails at Healthkart","","valid on product displayed on the","",""
"2434","92-7-552299","Get 35% Off On Vitamin Shoppe Advanced Sugar Support","Get 40% off on vitamin shoppe advanced sugar support at Healthkart, Code Not Required, Offer valid on product displayed on the listing page.","Get 40% off on vitamin shoppe","","vitamin shoppe advanced sugar support at Healthkart","","valid on product displayed on the","",""
"2435","92-7-552300","Get 42% Off On Vitamin Shoppe Biotin (5 mg)","Get 42% off on vitamin shoppe biotin (5 mg) at Healthkart, Code Not Required, Offer valid on product displayed on the listing page.","Get 42% off on vitamin shoppe","","vitamin shoppe biotin (5 mg) at Healthkart","","valid on product displayed on the","",""
"2436","92-7-552303","Get 48% Off On Vitamin Shoppe Supreme Green Tea (Caffeine Free)","Get 48% off on vitamin shoppe supreme green tea (caffeine free) at Healthkart, Code Not Required, Offer valid on product displayed on the listing page.","Get 48% off on vitamin shoppe","","vitamin shoppe supreme green tea (caffeine free) at Healthkart","","valid on product displayed on the","",""
"2437","92-7-552304","Get 38% Off On Vitamin Shoppe Next Step-Fit N Full Shake, Fresh Berries","Get 38% off on vitamin shoppe next step-fit n full shake, fresh berries at Healthkart, Code Not Required, Offer valid on product displayed on the listing page.","Get 38% off on vitamin shoppe","","vitamin shoppe next step-fit n full shake fresh berries at Healthkart","","valid on product displayed on the","",""
"2438","92-7-552309","Get 40% Off On Vitamin Shoppe B Complex 100","Get 40% off on vitamin shoppe B complex 100 at Healthkart, Code Not Required, Offer valid on product displayed on the listing page.","Get 40% off on vitamin shoppe","","vitamin shoppe B complex 100 at Healthkart","","valid on product displayed on the","",""
"2439","92-7-552310","Get 35% Off On Vitamin Shoppe Turmeric Extract","Get 35% off on vitamin shoppe turmeric extract at Healthkart, Code Not Required, Offer valid on product displayed on the listing page.","Get 35% off on vitamin shoppe","","vitamin shoppe turmeric extract at Healthkart","","valid on product displayed on the","",""
"2440","92-7-552314","Get 35% Off On Vitamin Shoppe Next Step-Fit N Full Shake, Swiss Chocolate","Get 35% off on vitamin shoppe next step-fit n full shake, swiss chocolate at Healthkart, Code Not Required, Offer valid on product displayed on the listing page.","Get 35% off on vitamin shoppe","","vitamin shoppe next step-fit n full shake swiss chocolate at Healthkart","","valid on product displayed on the","",""
"2441","92-7-553615","Get Up To 45% Off On Flax Seed Oil","Get Up To 45% Off On Flax Seed Oil, Code Not Required to avail this offer.","Up To 45% Off On Flax","","","Not Required","","",""
"2442","92-7-553728","Upto 15% Off On GNC Health Care Products","Buy gnc fish body oil, super foods green complete tablets & more and get upto 15% off at Healthkart, Code not required.","15% off at Healthkart","","get upto 15% off at Healthkart","15% off at Healthkart","","",""
"2443","92-7-554529","Grand Festive Sale - Extra 5% Cashback Whey You Pay Through PayUMoney","Grand Festive Sale - Get extra 5% cashback on all purchases at Healthkart, Code Not Required, Offer valid whey you pay through PayUMoney.","Get extra 5% cashback on all","","all purchases at Healthkart","","valid whey you pay through PayUMoney.","",""
"2444","92-7-554533","Grand Festive Sale - Launch Offer Flat 43% Off On MuscleBlaze Torque","Grand Festive Sale - Launch Offer flat 43% off on MuscleBlaze torque pre-workout (30 servings), 1.4 lb orange at Healthkart, Code Not Required, Plus extra 5% cashback whey you pay through PayUMoney.","pre-workout (30 servings) 1.4","","MuscleBlaze torque pre-workout (30 servings) 1.4 lb orange at Healthkart","pre-workout (30 servings) 1.4","","",""
"2445","92-7-555628","Festive Sale - Buy Ginkgo Biloba And Get Extra 5% Off","Buy Ginkgo Biloba and get extra 5% off","","","get extra 5% off","","","",""
"2446","92-7-555852","Get Flat 40% Off On Incredio Shake Mango & Chocolate Flavour","Get Flat 40% Off On Incredio Shake Mango & Chocolate Flavour, Code Not Required to avail this offer.","Flat 40% Off On Incredio Shake","","","avail this offer.","","",""
"2447","92-7-555979","MuscleBlaze BCAA 6000 - Flat 25% Off + Free Shaker","MuscleBlaze BCAA 6000 - Flat 25% Off + Free Shaker, Code Not Required to avail this offer.","Flat 25% Off + Free Shaker","","","avail this offer.","","",""
"2448","92-7-556402","Launch Offer - Flat 50% Off On HealthViva Natural Protein, 0.88 lb Unflavoured","Launch Offer - Flat 50% Off On HealthViva Natural Protein, 0.88 lb Unflavoured, Code Not Required to avail this offer.","Flat 50% Off On HealthViva Natural","","","avail this offer.","","",""
"2449","94-3-1187","10% OFF on Nike Deodorants","Nike Deodorants Sale - Smell fresh all the day long with new collection of Nike Deodorants for men and women, Buy at Nykaa and get 10% exclusive discount on your purchase","on your purchase","","of Nike Deodorants for men and women","","","",""
"2450","94-3-12053","Upto 30% OFF on Hair Care Products","Buy and get upto 30% OFF on Hair Care Products from leading brands, Check out widest range of products in listing page, No Code needed, Stay tuned to this page to see more of this upcoming Nykaa offers","30% OFF on Hair","","Hair Care Products from leading brands","30% OFF on Hair","","",""
"2451","94-3-12874","Makeup Mania Sale - Upto 30% OFF Cosmetics, Fragrance & More","Around 1000+ Beauty and Cosmetic products are on discount of upto 30% on this Nykaa Summer Sale, This amazing deal is something that people die for, KouponPlus now and make the most of this ongoing sale","now and make the most of","","discount of upto 30%","30% on this Nykaa","","",""
"2452","94-3-13655","Upto 20% OFF on Garnier Face wash","Scrub away all your skin problems with Garnier Skin Naturals, Skin feels clean, fresh and looks clearer, Now Buy and get UPTO 20% OFF on Garnier Face wash, No Code needed","Now Buy and get UPTO 20%","","Garnier Face wash","","","","Buy and get UPTO"
"2453","94-3-13657","Get 15% OFF on Dove Deodorant","Happy Skin plus healthy hair equals Happy You, Glowing, radiant, healthy skin and thick long hair is something that we all love, Shio now save 15% on Dove Deodorants, No Code needed to avail this offer","now save 15% on Dove Deodorants","","Dove Deodorants","avail this offer","","",""
"2454","94-3-14668","Flat 25% OFF on Purchases of 2 or more Toni And Guy Products","Now get Flat 25% discount on Purchases of 2 or more Toni&Guy Hair Care Products listed on the offers page, Pick your favourite product from the listing page and get them on lesser price online, No Code needed to get this offer","Flat 25% discount on Purchases of","","Purchases of 2 or more Toni&Guy Hair Care Products listed","Code needed","","","get Flat 25% discount"
"2455","94-3-14856","Flat Rs 100 OFF on Ponds Products","Take away Flat Rs 100 OFF on purchase of Rs 699, Around 100+ top selling products from ponds are listed under this amazing offer, No Code needed","Flat Rs 100 OFF on purchase","Rs. 100 OFF on purchase of","purchase of Rs 699","selling products from ponds","","",""
"2456","94-3-1639","Upto 20% OFF on Top Beauty Brands","Buy now and get a outstanding offers on almost everything, Get a flat discount upto 20% on various top brands, Click on the Avail deal to go to the listing page where all the deals are listed, Use the mention Code from the listing page and get this discount on your shopping, Go for it now","now and get a outstanding offers","deal to go to","almost everything","20% on various","","Use the mention Code from the",""
"2457","94-3-17130","Flat 35% OFF on BBlunt Appliances","Buy now and take away flat 35% discount on BBlunt Appliances listed on the offers page, No Code needed, Hurry up!","now and take away flat 35%","","BBlunt Appliances listed","","","",""
"2458","94-3-17187","Flat 35% OFF on Elchim","Nykaa offers wide range of Elchim professional hair styling tools for flat 35% discount, No Code needed.","","","","for flat 35% discount","","",""
"2459","94-3-17335","Get 2 FREE Movie Tickets on Purchases of Rs 1500 on Vichy Products","Buy and get get 2 Movie Tickets free on Purchases of Rs 1500 on Vichy Products, Pick your favorite one which suits best to your skin.","your skin.","Rs. 1500 on Vichy Products","Purchases of Rs 1500","your skin.","","",""
"2460","94-3-17341","The Beauty Blowout Sale - Massive Discount on Top Brands","Take away massive discount on top brands listed on the sale page, Stay tuned to get more offer on products on this page.","on top brands listed","","top brands listed","brands listed on the","","",""
"2461","94-3-18062","Flat 10% OFF on Bottega Di Lungavita Collection","Buy now and take away flat 10% instant discount on wide range of Bottega Di Lungavita Collection listed on the listing page, No Code needed","now and take away flat 10%","","wide range of Bottega Di Lungavita Collecti","","","",""
"2462","94-3-18580","Flat 15% OFF Avene Combos","Enjoy flat 15% discount on Avene combos listed on the listing page, Let get gorgeous skin for life and affordable price, No Code needed to avail this offer","on Avene combos listed","","Avene combos listed","avail this offer","","",""
"2463","94-3-19403","Set Wet Collection - Buy 1 Get 1 Free","Buy from the listing page and get 1 free on shopping, This offer is valid on all products available on the listing page, No Code needed","","","shopping","","valid on all products available on","",""
"2464","94-3-2089","15% OFF on Playboy Fragrances","Buy Playboy deodorants, after shave lotion, perfume deo etc and save on your purchase value, Buy for flat 15% discount on your purchases.","on your purchases.","","your purchase value","","","",""
"2465","94-3-2350","Fragrances Sale - Upto 55% OFF","Get upto 55% discount on wide collection of fragrances from top cosmetics brand, Pick your favourite one and take away on big discount, Hang on to get latest Nykaa Offers on Health and Beauty products","on wide collection of","","wide collecti","55% discount on wide","","",""
"2466","94-3-2911","Flat 15% OFF on AXE Fragrances","Select from the listed 22 items which carries great offers on them, The products listed in this section are deodorants, shower gel, shaving cream, after shave lotion, soaps and talcum powder ","","","them","","","",""
"2467","94-3-2912","Buy 1 get 1 free on Jay Herbal Teas","Buy any of these Cinnamon Apple, Jasmine Green Tea, Chai Cardamom, Earl Grey or Darjeeling Tea and get another one absolutely free, These green teas are not only good for your health but are also great for your well being and longevity of your life","","","get another one absolutely free","","","",""
"2468","94-3-3198","Flat 15% OFF on GNC Proteins and Nutrients","GNC is a top brand in India when it comes to health supplements where you have an option of huge number of products from lean tabs to mass gainer, whey, Complete Body Cleanser, thermo burst, milk thistle etc, to name a few of them, No Codes needed to avail this incredible offer.Hurry up and avail this offer now","now","","","brand in India when","","",""
"2469","94-3-3418","Upto 25% OFF on Loreal Products","Nykaa Loreal Sale - Select from 106 products at Nykaa from L'Oreal Paris for some of the top selling products for Shampoos, Conditioners and Serums, Buy now and take away discount upto 25% from the original prices of them, No Code needed to avail this offer","now and take away discount upto","","","selling products for Shampoos","","",""
"2470","94-3-4682","Flat15% OFF on Maybelline New York","Get flat 15% rebate on world's no.1 makeup brand, Choose your favorite products from the given page on which this offer is running.","Get flat 15% rebate on world's","","world's no.1 makeup brand","","","",""
"2471","94-3-5619","Upto 50% OFF on Beauty and Cosmetic Brands","Look drop-dead gorgeous by shopping cosmetics products at Nykaa and get upto 50% discount on around 105 brands listed on the listing page, Choose your favourite brand and take at cheaper price online, No Nykaa discount coupons needed to avail this majestic offer","on around 105 brands","","around 105 brands listed","50% discount on around","","shopping cosmetics products at",""
"2472","94-3-6527","Herbal Week Sale - Upto 25% OFF on Herbal Products","Get upto 25% discount on herbal products listed on the listing page, Select the bests from wide varieties and ranges products at a reduced cost, No Code needed to avail this offer","on herbal products listed","","herbal products listed","25% discount on herbal","","",""
"2473","94-3-7270","Schwarzkopf Bonacure Shampoo @ 299","Get Schwarzkopf Bonacure Repair Rescue Shampoo for just 299","Get Schwarzkopf Bonacure Repair Rescue Shampoo","","","","","",""
"2474","96-2-3549","BUY 2 GET 1 FREE ON CINTHOL DEO","Buy 2 and get 1 free on cinthol deo, Products display on the listing page.","","","cinthol deo","","","",""
"2475","96-2-810","EXTRA 10% OFF ON RS.1000 & ABOVE","Get extra 10%  off on rs.1000 & above on all products, Buy Now!.","Now","","rs.1000 & above","","","",""
"2476","96-3-13116","Upto 18% OFF on Maybelline Makeup Gifts","Beautiful gifts for the beautiful people is possible by Maybelline, A world class make up products are readily available at Purplle, Purchase and get upto 15% Off","15% Off","","get upto 15% Off","15% Off","","Maybelline",""
"2477","96-3-13117","Upto 18% OFF on Hair Products","Give you hair a healthy treatment by purchasing the best products available online, Trust on Purplle and get haircare products upto 18% OFF.","18% OFF.","","Purplle and get haircare products upto 18% OFF.","18% OFF.","","purchasing the best products",""
